study,transition,ligand,receptor,sender,receiver,log2FC,pLig,pRec,score_sham,score_mcao,pathway,sig
GSE197731_WT,24h,Hmgb1,Tlr4,Tcell,Macrophage,0.90215456,0.82791495,8.995421e-09,0.27506855,0.51493204,Alarmin,True
GSE197731_WT,48h,Hmgb1,Tlr4,Endothelial,Microglia,-0.94130415,0.084444836,8.87826e-05,0.4105946,0.21334279,Alarmin,True
GSE197731_WT,48h,Hpse,Sdc1,Macrophage,Macrophage,0.8788928,0.05812863,1.995244e-09,0.0102840215,0.019750902,ECM,True
GSE197731_WT,24h,Icam1,Itgal,Endothelial,NK,-1.4058992,0.38082507,0.00828667,0.36851373,0.13844815,Adhesion,True
GSE197731_WT,48h,Icam1,Itgal,Macrophage,Oligodendrocyte,1.6073475,5.4195493e-08,0.07249152,0.10044626,0.30809778,Adhesion,True
GSE197731_WT,24h,Icam1,Itgb2,Macrophage,Pericyte,2.1075885,1.5707513e-09,0.03370211,0.10199076,0.44285965,Adhesion,True
GSE197731_WT,48h,Icam1,Itgb2,Macrophage,Bcell,1.8892578,5.4195493e-08,0.0064171795,0.039054636,0.14738022,Adhesion,True
GSE197731_WT,24h,Ifng,Ifngr1,NK,Bcell,-1.3397598,0.10457648,0.068128,0.18993284,0.07443497,Cytokine,False
GSE197731_WT,24h,Il1b,Il1r1,Pericyte,Tcell,1.7754699,0.005458546,0.70578665,0.07061646,0.24417861,Cytokine,True
GSE197731_WT,48h,Il1b,Il1r1,Microglia,Tcell,3.620376,0.0,0.026907062,0.07696171,0.95778924,Cytokine,True
GSE197731_WT,24h,Il34,Csf1r,Pericyte,Microglia,-0.6180665,0.38348165,0.0,2.6589155,1.7320508,Cytokine,True
GSE197731_WT,24h,Jaml,Jam3,Tcell,Oligodendrocyte,-2.2940526,0.048946302,0.13811162,0.309094,0.062228773,Adhesion,True
GSE197731_WT,48h,Jaml,Jam3,Oligodendrocyte,Endothelial,0.5231807,0.07160703,0.8733496,0.05454412,0.078823574,Adhesion,False
GSE197731_WT,24h,Lama2,Itga7,Pericyte,Pericyte,-1.7922286,0.36021256,0.2698032,0.25884414,0.07402368,ECM,False
GSE197731_WT,24h,Lamb2,Itgb1,Endothelial,NK,-3.6666927,0.000994636,0.14401418,1.2727534,0.09929998,ECM,True
GSE197731_WT,48h,Lamb2,Itgb1,Endothelial,Microglia,-2.5827422,0.009144744,1.0063935e-18,1.0352231,0.17196986,ECM,True
GSE197731_WT,24h,Mif,Cd74,Pericyte,Pericyte,2.3312101,0.054243594,0.15239523,0.13811052,0.6990421,CD74,False
GSE197731_WT,48h,Mif,Cd74,Microglia,Endothelial,2.4156013,2e-44,0.115774594,0.35362917,1.8910947,CD74,True
GSE197731_WT,24h,Ncam1,Ncam1,Oligodendrocyte,Oligodendrocyte,-1.7474748,0.08206444,0.08206444,0.35450184,0.10487649,Adhesion,False
GSE197731_WT,24h,Osm,Osmr,Endothelial,Pericyte,2.8029623,0.004737244,0.96200794,0.06430288,0.4547305,Cytokine,True
GSE197731_WT,48h,Osm,Osmr,Endothelial,Endothelial,1.7209862,0.42760688,0.64785457,0.042468257,0.14229819,Cytokine,False
GSE197731_WT,24h,Pdcd1,Cd274,NK,Endothelial,2.310463,0.84006035,0.19965693,0.020845937,0.107365064,Checkpoint,False
GSE197731_WT,48h,Pdcd1,Cd274,Tcell,Endothelial,3.17896,0.012650826,0.072321326,0.05943161,0.5463013,Checkpoint,True
GSE197731_WT,24h,Pdgfa,Pdgfrb,Pericyte,Pericyte,0.62339693,0.15829892,0.03327366,0.379445,0.5850748,PDGF,True
GSE197731_WT,24h,Pecam1,Pecam1,Tcell,Tcell,2.3422265,0.106329516,0.106329516,0.016621508,0.08835595,Adhesion,False
GSE197731_WT,48h,Pecam1,Pecam1,Tcell,Tcell,2.2217584,0.014180145,0.014180145,0.016621508,0.08119757,Adhesion,True
GSE197731_WT,24h,S100a8,Tlr4,Pericyte,Macrophage,2.7524345,0.0029993255,8.995421e-09,0.07985288,0.5438298,Alarmin,True
GSE197731_WT,48h,S100a8,Tlr4,Microglia,Oligodendrocyte,3.6259077,0.0,0.96077234,0.029302195,0.37309426,Alarmin,True
GSE197731_WT,24h,S100a9,Tlr4,Bcell,Macrophage,2.6948287,6.733818e-07,8.995421e-09,0.044888996,0.29612067,Alarmin,True
GSE197731_WT,48h,S100a9,Tlr4,Microglia,Oligodendrocyte,3.2351074,0.0,0.96077234,0.040583797,0.39055118,Alarmin,True
GSE197731_WT,48h,Sdc1,Cxcl12,Tcell,Endothelial,-1.7881528,0.043514602,0.041019622,0.14067274,0.040020287,ECM,True
GSE197731_WT,24h,Spp1,Cd44,Endothelial,Pericyte,7.0297546,8.146164e-06,0.0061150594,0.01574975,2.1876452,Osteopontin,True
GSE197731_WT,48h,Spp1,Cd44,Microglia,Endothelial,4.6343346,0.0,0.0068533495,0.0639131,1.6111522,Osteopontin,True
GSE197731_WT,24h,Spp1,Itgav,Endothelial,Endothelial,5.533699,8.146164e-06,0.36713156,0.025104033,1.2082525,Osteopontin,True
GSE197731_WT,48h,Spp1,Itgav,Microglia,Macrophage,3.102611,0.0,0.00021605074,0.049528174,0.43302286,Osteopontin,True
GSE197731_WT,24h,Tgfa,Egfr,Oligodendrocyte,Pericyte,1.2477019,0.6366007,0.2055298,0.025127014,0.06104196,EGF,False
GSE197731_WT,24h,Tgfb1,Acvrl1,Tcell,Pericyte,1.9057993,0.0886688,0.089781635,0.06531715,0.24750127,TGFb,False
GSE197731_WT,48h,Tgfb1,Acvrl1,Microglia,Macrophage,-1.1544366,6.424e-42,2.2323577e-05,0.26225767,0.11726628,TGFb,True
GSE197731_WT,24h,Tgfb1,Tgfbr1,Tcell,Bcell,0.9541,0.0886688,0.44103897,0.0830236,0.16178486,TGFb,False
GSE197731_WT,48h,Tgfb1,Tgfbr1,Microglia,Microglia,-1.6174761,6.424e-42,0.0,2.3439682,0.7632371,TGFb,True
GSE197731_WT,24h,Tgfb1,Tgfbr2,Microglia,Endothelial,-1.5918834,7.057693e-34,0.004301341,1.3976544,0.46298695,TGFb,True
GSE197731_WT,48h,Tgfb1,Tgfbr2,Microglia,Endothelial,-2.35054,6.424e-42,0.0011666191,1.3976544,0.27323785,TGFb,True
GSE197731_WT,24h,Tgfb2,Acvrl1,Pericyte,Pericyte,1.4027913,0.8915577,0.089781635,0.01790015,0.04897439,TGFb,False
GSE197731_WT,24h,Tgfb2,Tgfbr2,Pericyte,Endothelial,-1.3191502,0.8915577,0.004301341,0.15996096,0.06350847,TGFb,True
GSE197731_WT,24h,Tgfb3,Tgfbr2,Pericyte,Tcell,1.3365015,0.5369131,0.3392122,0.032845765,0.084473476,TGFb,False
GSE197731_WT,24h,Thbs1,Cd47,Oligodendrocyte,Endothelial,-1.0926458,0.49168244,0.028635861,1.220951,0.5719737,Thrombospondin,True
GSE197731_WT,48h,Thbs1,Cd47,Macrophage,Tcell,0.69886404,2.3190038e-25,0.0015664637,3.3929737,5.508187,Thrombospondin,True
GSE197731_WT,24h,Tnf,Tnfrsf1a,Pericyte,NK,2.7594101,0.010921133,0.001126584,0.08128333,0.55615634,Cytokine,True
GSE197731_WT,48h,Tnf,Tnfrsf1a,Oligodendrocyte,NK,2.258267,0.3051061,2.0388122e-09,0.13024211,0.62688386,Cytokine,True
GSE197731_WT,24h,Vcam1,Itga4,Endothelial,Macrophage,-1.8982729,0.4323138,3.079599e-23,0.28407088,0.075474344,Adhesion,True
GSE197731_WT,24h,Vcam1,Itgav,Endothelial,Pericyte,-2.2029498,0.4323138,0.11159234,0.37468642,0.08059649,Adhesion,False
GSE197731_WT,24h,Vcan,Cd44,Macrophage,Pericyte,2.1120698,0.029205855,0.0061150594,0.09766189,0.42552635,ECM,True
GSE197731_WT,48h,Vcan,Cd44,Macrophage,Endothelial,2.3181577,5.3772806e-06,0.0068533495,0.15472926,0.77561396,ECM,True
GSE197731_WT,24h,Vegfa,Flt1,Oligodendrocyte,Pericyte,-1.706759,0.53475946,0.17178005,0.048023082,0.014018099,VEGF,False
GSE197731_WT,48h,Vegfa,Flt1,Oligodendrocyte,Endothelial,-0.9548036,0.979798,0.0052511324,0.34450668,0.17725098,VEGF,True
GSE197731_WT,24h,Vegfa,Kdr,Oligodendrocyte,Endothelial,-0.09792083,0.53475946,0.40971282,0.07729121,0.072153635,VEGF,False
GSE197731_WT,48h,Vegfa,Kdr,Macrophage,Endothelial,1.251743,8.613941e-25,0.37216368,0.32942545,0.7858386,VEGF,True
GSE197731_KO,24h,Apoe,Ldlr,Bcell,Oligodendrocyte,0.748634,0.37020776,0.31650105,0.18441029,0.3105266,Lipoprotein,False
GSE197731_KO,48h,Apoe,Ldlr,Endothelial,Oligodendrocyte,-0.9159864,0.042253844,0.2949313,0.32765737,0.17318228,Lipoprotein,True
GSE197731_KO,24h,Apoe,Lrp1,Endothelial,Pericyte,-1.3213544,0.09039391,0.015207404,3.337785,1.3350451,Lipoprotein,True
GSE197731_KO,48h,Apoe,Lrp1,Endothelial,Endothelial,-2.3170526,0.042253844,0.13519408,1.1714299,0.23427974,Lipoprotein,True
GSE197731_KO,24h,App,Sorl1,NK,Pericyte,2.1394603,3.4462242e-05,0.069887996,0.040643085,0.18247825,Amyloid,True
GSE197731_KO,48h,App,Sorl1,NK,Tcell,2.2714474,6.673602e-06,0.045155693,0.047945343,0.23531169,Amyloid,True
GSE197731_KO,24h,C1qa,C1qb,Tcell,Pericyte,-2.0939236,0.0003347109,0.025673712,1.6852727,0.39399722,Complement,True
GSE197731_KO,48h,C1qa,C1qb,Endothelial,Endothelial,-6.9619694,0.0003690144,0.00012721679,3.7698576,0.02924674,Complement,True
GSE197731_KO,24h,C3,C3ar1,Macrophage,Oligodendrocyte,-0.7809788,0.83293563,0.0073200064,0.22151394,0.12849684,Complement,True
GSE197731_KO,48h,C3,C3ar1,Macrophage,Oligodendrocyte,-1.3448229,0.001840734,0.000119922566,0.22151394,0.08660425,Complement,True
GSE197731_KO,24h,Ccl2,Ccr2,Pericyte,NK,1.9454525,0.013113809,0.015812369,0.23650917,0.9137869,Chemokine,True
GSE197731_KO,48h,Ccl2,Ccr2,Endothelial,Tcell,-2.58968,0.39589292,0.10908124,0.330299,0.054036237,Chemokine,False
GSE197731_KO,24h,Ccl2,Sdc1,Pericyte,Macrophage,2.6114166,0.013113809,1.693111e-08,0.030386416,0.19080347,Chemokine,True
GSE197731_KO,48h,Ccl2,Sdc1,Microglia,Macrophage,1.5149596,0.0,0.08182392,0.046506047,0.13476792,Chemokine,True
GSE197731_KO,24h,Ccl3,Ccr1,Endothelial,Microglia,1.4404941,0.9864928,0.0,0.2416884,0.6576898,Chemokine,True
GSE197731_KO,48h,Ccl3,Ccr1,Microglia,Microglia,1.9944468,1.1358927e-21,0.0,0.52295846,2.086782,Chemokine,True
GSE197731_KO,24h,Ccl3,Ccr5,Tcell,Oligodendrocyte,-1.5663658,0.035019707,0.31849593,0.17707475,0.059128348,Chemokine,True
GSE197731_KO,48h,Ccl3,Ccr5,Endothelial,Endothelial,-3.5472977,0.00058992824,0.0670837,0.518867,0.04346817,Chemokine,True
GSE197731_KO,24h,Ccl4,Ccr5,Endothelial,NK,1.206019,0.12612206,0.029842524,0.7808873,1.8028152,Chemokine,True
GSE197731_KO,48h,Ccl4,Ccr5,Tcell,Endothelial,-3.530448,4.1181324e-06,0.0670837,0.38238367,0.03217897,Chemokine,True
GSE197731_KO,24h,Ccl5,Ccr5,Tcell,Oligodendrocyte,-2.704506,0.0019054437,0.31849593,0.42121515,0.06377335,Chemokine,True
GSE197731_KO,48h,Ccl5,Ccr5,Tcell,Endothelial,-3.53839,0.0033395959,0.0670837,0.4884116,0.041122366,Chemokine,True
GSE197731_KO,24h,Ccl7,Ccr2,Macrophage,Tcell,-1.1347102,0.49308044,0.024974082,0.18622813,0.08426863,Chemokine,True
