tf,target,dorothea_weight,dorothea_sign,a_aff,r_24h,r_raw_24h,r_sham,r_raw_sham,dW_sham_24h,dW_raw_sham_24h,p_sham_24h,fdr_bh_sham_24h,q_pooled_sham_24h
Irf2,Atf1,0.3333333333333333,activation,0.02951835414785237,-0.027635376900434494,-0.008594149723649025,-0.01756555773317814,-0.00821877084672451,-0.010069819167256355,-0.00037537887692451477,0.7263681592039801,0.9902517969061008,0.9910795454545455
Irf2,Ciita,1.0,activation,0.002242517726607477,-0.016487011685967445,-0.003297319868579507,-0.02099369466304779,-0.01719377376139164,0.004506682977080345,0.013896454125642776,0.8656716417910447,0.9922981317617968,0.9910795454545455
Irf2,Socs1,0.3333333333333333,activation,0.02516503759262693,-0.007754256017506123,0.007442060392349958,0.02244395948946476,0.03538474813103676,-0.030198216438293457,-0.027942687273025513,0.39303482587064675,0.9736445509677888,0.9688838153221715
Irf2,Parp14,0.3333333333333333,activation,0.0040309011154763714,0.025497859343886375,0.03997425362467766,0.02212243154644966,0.0377129465341568,0.003375427797436714,0.0022613070905208588,0.9203980099502488,0.9955831256643176,0.996231533894795
Irf2,Arid1b,0.3333333333333333,activation,-0.009311045249547328,-0.031800854951143265,-0.027528919279575348,0.016738878563046455,0.019374709576368332,-0.04853973537683487,-0.04690362885594368,0.14925373134328357,0.9328166119210894,0.9039540126239856
Irf2,Tap1,1.0,activation,0.006690949987763682,0.037906333804130554,0.06774330139160156,0.040908776223659515,0.056061454117298126,-0.003002442419528961,0.011681847274303436,0.9154228855721394,0.9946659847740559,0.9964797241944293
Irf2,Ubr2,0.3333333333333333,activation,-0.0022425472213249576,0.008461211808025837,0.017185362055897713,-0.013598085381090641,-0.00985695980489254,0.022059297189116478,0.027042321860790253,0.4626865671641791,0.9739325176827905,0.979267146692702
Irf2,Tgif1,0.3333333333333333,activation,0.08520574631741801,0.03929360583424568,0.06300205737352371,0.017483048141002655,0.02914908155798912,0.021810557693243027,0.03385297581553459,0.5174129353233831,0.9810040705563093,0.9833580261315912
Irf2,Ddx3y,0.3333333333333333,activation,-0.008745504914556234,-0.0008933559292927384,0.007388341706246138,-0.008082044310867786,-0.007540544960647821,0.00718868849799037,0.014928886666893959,0.8407960199004975,0.9921856608487476,0.9910795454545455
Irf2,Nr3c1,0.5,activation,-0.020761632656943554,0.018622322008013725,0.0347408689558506,-0.0014259385643526912,0.013563993386924267,0.02004826068878174,0.02117687463760376,0.6318407960199005,0.9878030009632477,0.9860970627208481
Irf2,Wdr74,0.3333333333333333,activation,0.024851464033925835,-0.0048977830447256565,0.00945543684065342,0.018049994483590126,0.011032351292669773,-0.022947777062654495,-0.0015769144520163536,0.4975124378109453,0.977367988250371,0.979267146692702
Irf2,Patl1,0.3333333333333333,activation,0.003941035120956468,0.005710279569029808,0.01711535081267357,-0.01904129609465599,-0.010264412499964237,0.0247515756636858,0.02737976238131523,0.3781094527363184,0.9736445509677888,0.9746687833742242
Irf2,Fam111a,0.3333333333333333,activation,0.08775306410329746,0.035387855023145676,0.06859961897134781,-0.010288425721228123,0.011075505055487156,0.045676279813051224,0.05752411484718323,0.19402985074626866,0.9369536411653202,0.9278684470820969
Irf2,Ifit3,0.3333333333333333,activation,-0.1140946504340219,0.02547026239335537,0.04873155802488327,-0.01157668512314558,0.009605782106518745,0.037046946585178375,0.039125777781009674,0.25870646766169153,0.9621644862109207,0.9670384917517675
Irf2,Ifit3b,0.3333333333333333,activation,-0.06560167023290085,0.016258107498288155,0.03666812554001808,-0.03281474858522415,-0.017340553924441338,0.04907285422086716,0.05400867760181427,0.1890547263681592,0.9369536411653202,0.9278684470820969
Irf2,Casp7,0.5,activation,-0.005482743776357194,0.004700434394180775,0.017662718892097473,-0.016250653192400932,-0.011689539067447186,0.02095108851790428,0.029352258890867233,0.4427860696517413,0.9736445509677888,0.979267146692702
Jund,Ier5,0.3333333333333333,activation,0.6174907041116645,-0.0008959337137639523,0.15266932547092438,-0.008752187713980675,0.131997212767601,0.007856253534555435,0.020672112703323364,0.8258706467661692,0.9921856608487476,0.9910795454545455
Jund,Rapgef4,0.3333333333333333,activation,-0.5139728389880652,-0.011186063289642334,0.0861131101846695,-0.01802990585565567,0.00823063962161541,0.006843842566013336,0.07788246870040894,0.8557213930348259,0.9921856608487476,0.9910795454545455
Jund,Itgav,-1.0,repression,0.06723783617598149,-0.01726684160530567,-0.022933730855584145,0.010871980339288712,0.006019183900207281,-0.028138821944594383,-0.028952915221452713,0.3333333333333333,0.9700291039692859,0.9688313841857218
Jund,Sh3kbp1,0.3333333333333333,activation,0.10128037004227032,0.027378687635064125,0.02764705754816532,-0.0009874992538243532,0.02109517715871334,0.02836618758738041,0.006551880389451981,0.2935323383084577,0.9684182794686481,0.9670384917517675
Jund,Tsc22d2,0.3333333333333333,activation,-0.008913539108073337,-0.011898445896804333,0.022810108959674835,-0.030623547732830048,0.007502282969653606,0.01872510090470314,0.015307825990021229,0.582089552238806,0.98441106392678,0.9864735421166306
Jund,Bglap2,0.3333333333333333,activation,-0.0040981876540535775,-0.013128723949193954,-0.03065633587539196,0.03159540519118309,0.013765815645456314,-0.044724129140377045,-0.044422149658203125,0.208955223880597,0.947130666113875,0.9301989431147032
Jund,Lmna,0.5,activation,-0.03963572361078841,-0.004212266765534878,0.048600032925605774,-0.0077754538506269455,0.006947871297597885,0.0035631870850920677,0.04165216162800789,0.900497512437811,0.9945721184870625,0.9955017385257302
Jund,F3,0.3333333333333333,activation,0.05227664327317679,0.00661106500774622,-0.15708185732364655,0.038999639451503754,-0.1159081757068634,-0.03238857537508011,-0.04117368161678314,0.2885572139303483,0.9684182794686481,0.9670384917517675
Jund,Kdm4c,0.3333333333333333,activation,-0.02003275911698565,-0.017967915162444115,0.0004301269946154207,-0.003317744703963399,0.0021395846270024776,-0.01465017069131136,-0.0017094576032832265,0.6865671641791045,0.9897679260163321,0.9910795454545455
Jund,Arid1a,0.3333333333333333,activation,-0.007017649542264554,-0.009185688570141792,0.04462777078151703,0.01955511048436165,0.0800648033618927,-0.02874079905450344,-0.03543703258037567,0.38308457711442784,0.9736445509677888,0.9692004909983634
Jund,Rere,0.3333333333333333,activation,-0.0822333733814573,0.011902566067874432,0.0329497829079628,0.01585177518427372,0.039979755878448486,-0.003949209116399288,-0.007029972970485687,0.9154228855721394,0.9946659847740559,0.994242934287117
Jund,Il6,1.0,activation,0.08348594798599616,0.02931041270494461,0.022751912474632263,-0.05791977420449257,-0.028699729591608047,0.08723019063472748,0.05145164206624031,0.01990049751243781,0.8587914422378466,0.8058307926829268
Jund,Mthfd2l,0.3333333333333333,activation,-0.04364803402889196,0.031991131603717804,0.014027790166437626,0.023456022143363953,0.008966660127043724,0.008535109460353851,0.005061130039393902,0.7960199004975125,0.9905983270808336,0.9910795454545455
Jund,Ubc,0.3333333333333333,activation,0.22192406084847743,0.07763567566871643,0.2906011641025543,0.01723797433078289,0.1659228801727295,0.06039769947528839,0.12467828392982483,0.05970149253731343,0.8975277165038531,0.8646127783155857
Jund,Clip2,0.3333333333333333,activation,0.018552589459729974,-0.04903745278716087,-0.03201710805296898,-0.0013836108846589923,0.02918842062354088,-0.047653842717409134,-0.06120552867650986,0.14925373134328357,0.9328166119210894,0.9217030233448144
Jund,Mafk,0.5,activation,0.0434040068564027,-0.007234408985823393,0.07103157043457031,-0.014650070108473301,0.023150771856307983,0.007415661122649908,0.04788079857826233,0.8159203980099502,0.9920024961975589,0.9910795454545455
Jund,Gna12,0.3333333333333333,activation,0.029431504321874413,-0.020301643759012222,0.0003383919538464397,0.03172622248530388,0.04218488559126854,-0.0520278662443161,-0.04184649512171745,0.12437810945273632,0.9220932723980665,0.9039540126239856
Jund,Foxk1,0.3333333333333333,activation,-0.002471820827183502,0.026225680485367775,0.022178085520863533,0.0030136210843920708,0.005123933777213097,0.02321206033229828,0.017054151743650436,0.5124378109452736,0.9810040705563093,0.979267146692702
Jund,Cald1,0.3333333333333333,activation,-0.04151694812465821,-0.04517980292439461,0.01888224296271801,-0.031790997833013535,-0.008454367518424988,-0.013388805091381073,0.027336610481142998,0.6218905472636815,0.9864231898426055,0.9910795454545455
Jund,Igf2bp3,0.3333333333333333,activation,-0.018671116416121195,-0.02036806382238865,0.0031130718998610973,-0.02148149348795414,-0.01945236697793007,0.0011134296655654907,0.022565439343452454,0.9751243781094527,0.9976205087826963,0.9975490575781049
Jund,Gadd45a,1.0,activation,0.0949863325854402,-0.010310879908502102,0.019534338265657425,0.020790312439203262,0.027420733124017715,-0.03110119327902794,-0.00788639485836029,0.34328358208955223,0.9726283895196863,0.9688313841857218
Jund,Iqsec1,0.3333333333333333,activation,-0.005033387422927052,-0.004712909460067749,-0.0032649764325469732,0.017282284796237946,0.0012048945063725114,-0.021995194256305695,-0.0044698710553348064,0.44776119402985076,0.9739325176827905,0.979267146692702
Jund,Frmd4b,0.3333333333333333,activation,0.01401909991204475,-0.025457125157117844,0.07097546011209488,0.011445623822510242,0.07006999105215073,-0.03690274804830551,0.0009054690599441528,0.19900497512437812,0.941247866945466,0.9428443026964337
Jund,Erc1,0.3333333333333333,activation,-0.05041952686405793,-0.009964823722839355,0.0380285307765007,-0.01902071386575699,-0.011250798590481281,0.009055890142917633,0.04927932843565941,0.7412935323383084,0.9902517969061008,0.9910795454545455
Jund,Bbc3,0.3333333333333333,activation,0.01659688622523173,-0.009159347973763943,0.03142784908413887,-0.0036921920254826546,0.024162890389561653,-0.005467155948281288,0.007264958694577217,0.8905472636815921,0.9945721184870625,0.9910795454545455
Jund,Plaur,1.0,activation,0.4527202857309384,-0.048188287764787674,-0.026802759617567062,-0.018129540607333183,0.011142119765281677,-0.03005874715745449,-0.03794487938284874,0.36318407960199006,0.9736445509677888,0.9692004909983634
Jund,Tgfb1,1.0,activation,0.28371079510983127,0.008222697302699089,0.036218225955963135,-0.02132248692214489,0.07557607442140579,0.02954518422484398,-0.03935784846544266,0.35323383084577115,0.9736445509677888,0.9692004909983634
Jund,Tacc2,0.3333333333333333,activation,-0.0422357429439822,-0.056477248668670654,-0.015161474235355854,0.012237695045769215,0.02102857641875744,-0.06871494650840759,-0.03619005158543587,0.04975124378109453,0.8792703150912107,0.8516144200626959
Jund,Bcr,0.3333333333333333,activation,0.021048325373118834,-0.01056472584605217,0.04069285839796066,-0.034291740506887436,-0.009101226925849915,0.023727014660835266,0.04979408532381058,0.5323383084577115,0.9810040705563093,0.9821350540216086
Jund,Midn,0.3333333333333333,activation,0.02933434865643009,0.025264594703912735,0.055315934121608734,0.025806540623307228,0.04321657121181488,-0.0005419459193944931,0.012099362909793854,1.0,1.0,0.9975490575781049
Jund,Ank1,0.3333333333333333,activation,0.003292093065356963,-0.008278862573206425,0.008217399008572102,-0.02384103089570999,0.0,0.015562168322503567,0.008217399008572102,0.3034825870646766,0.9684182794686481,0.9670384917517675
Jund,Rbpms,0.3333333333333333,activation,-0.18501660331736278,0.0184010099619627,0.10012555122375488,0.030003000050783157,0.06867314875125885,-0.011601990088820457,0.03145240247249603,0.7164179104477612,0.9902517969061008,0.9910795454545455
Jund,Dlc1,0.3333333333333333,activation,-0.3211802632164199,0.0040427218191325665,0.1006046012043953,0.02820022962987423,0.07056066393852234,-0.024157507345080376,0.030043937265872955,0.48756218905472637,0.977367988250371,0.979267146692702
Jund,Pard3,0.3333333333333333,activation,-0.10228248095892183,0.05350925028324127,0.08134744316339493,0.008963217958807945,0.02843100018799305,0.04454603046178818,0.05291644483804703,0.16417910447761194,0.9328493549661918,0.9278684470820969
Jund,Clu,1.0,activation,0.2639198018545092,-0.0005065797595307231,-0.2524947226047516,0.0597357340157032,-0.1663314402103424,-0.060242313891649246,-0.08616328239440918,0.07960199004975124,0.9067796351981672,0.8632690405539071
Jund,Mbnl2,0.3333333333333333,activation,-0.1434189566974726,0.0037661066744476557,0.07299957424402237,0.04120549187064171,0.09103938937187195,-0.03743938356637955,-0.01803981512784958,0.24875621890547264,0.9609780935028924,0.9642000455166135
Jund,Anxa2,0.3333333333333333,activation,-0.15043452978315525,-0.020749717950820923,0.049422360956668854,0.004460067953914404,0.023925842717289925,-0.025209786370396614,0.02549651823937893,0.39303482587064675,0.9736445509677888,0.9758871758934828
Jund,Spred2,0.3333333333333333,activation,-0.03044906318729798,0.04402238503098488,0.05862782523036003,0.041405342519283295,0.03110760822892189,0.002617042511701584,0.02752021700143814,0.945273631840796,0.9976205087826963,0.9967685084376701
Jund,Rtn4,0.3333333333333333,activation,0.2306450700712848,0.014965840615332127,0.04387585446238518,-0.01965390145778656,0.018260151147842407,0.03461974114179611,0.02561570331454277,0.36318407960199006,0.9736445509677888,0.9688313841857218
Jund,Kdm6b,0.3333333333333333,activation,0.16862459508410071,-0.0013889521360397339,0.010677521117031574,0.01554911769926548,0.03753669932484627,-0.016938069835305214,-0.026859179139137268,0.5970149253731343,0.9858990940301653,0.9874035106270488
Jund,Nos2,1.0,activation,-0.0028227482120548116,-0.03773588687181473,-0.01398595329374075,0.013667622581124306,0.013505811803042889,-0.051403507590293884,-0.027491765096783638,0.1691542288557214,0.9330285193749562,0.9278684470820969
Jund,Ksr1,0.3333333333333333,activation,-0.013466260705495463,0.008993767201900482,-0.0199065450578928,0.015278422273695469,0.02169678546488285,-0.006284655071794987,-0.04160333052277565,0.8258706467661692,0.9921856608487476,0.9910795454545455
Jund,Ccl5,1.0,activation,0.08159991151285287,0.024623151868581772,-0.03888101875782013,-0.0009606896783225238,-0.029560405761003494,0.025583840906620026,-0.009320612996816635,0.3781094527363184,0.9736445509677888,0.9731327275435722
Jund,Abcc3,0.3333333333333333,activation,0.07665281244839982,-0.04595426470041275,-0.022292036563158035,0.017669513821601868,0.04842929542064667,-0.06362377852201462,-0.0707213282585144,0.03980099502487562,0.8587914422378466,0.8416721132897603
Jund,Itgb3,-1.0,repression,0.016834621544406413,-0.0049417647533118725,0.016491346061229706,0.013500929810106754,0.0249395240098238,-0.01844269409775734,-0.008448177948594093,0.47761194029850745,0.9771178065529738,0.979267146692702
